Id,SalePrice
1461,124206.15369647963
1462,165971.29765414973
1463,175028.51188233573
1464,183834.67156873766
1465,199293.60246100978
1466,177683.68611623746
1467,176894.43634190576
1468,166399.19163111105
1469,187694.35355891075
1470,124914.10070011827
1471,201438.91745801875
1472,95836.93382065534
1473,94506.53772611126
1474,152539.55573424717
1475,139641.67751984854
1476,384076.19434658316
1477,270606.31428128574
1478,294073.18763097766
1479,269569.21952010714
1480,490238.71163091325
1481,359335.76800718845
1482,214455.36926049693
1483,173479.7577792226
1484,170788.83073932366
1485,175673.87634570914
1486,192784.9347418084
1487,384483.1840429918
1488,235793.011618403
1489,203932.69863715826
1490,206547.12526451048
1491,193849.45663247674
1492,87137.84778011999
1493,193585.39526590743
1494,307703.20175533387
1495,294950.7733466986
1496,223973.52532300103
1497,184235.08327362008
1498,156417.16479414707
1499,159767.6280766151
1500,149332.48317725887
1501,163359.55624671825
1502,158799.10839731732
1503,303941.65864275146
1504,230567.22652352788
1505,214852.13975082975
1506,186085.60294252468
1507,237038.78779833257
1508,192170.01264627013
1509,158432.60833430206
1510,149722.3612285895
1511,142769.49619170165
1512,168265.62118960198
1513,154591.92081309806
1514,172368.14064183025
1515,196480.17535714738
1516,171640.96010363157
1517,159329.3097666998
1518,136617.75399835964
1519,216030.64390005596
1520,133322.32521207424
1521,136401.48701897837
1522,171760.58830335725
1523,110662.96375394054
1524,122796.22096862458
1525,122157.97434617055
1526,128809.10200354608
1527,116931.49349125933
1528,127849.64314094748
1529,150481.56896727477
1530,180011.54770378198
1531,116810.11890098955
1532,105701.70087111168
1533,141190.21045473483
1534,119844.03850839296
1535,151853.62203711766
1536,117198.51054401441
1537,89811.9997752691
1538,195085.22403528253
1539,214192.6857614398
1540,84033.18481866582
1541,132110.18835032356
1542,131126.1951135099
1543,221055.2079648489
1544,78916.38748058023
1545,113163.17871636637
1546,127579.38429214337
1547,122547.45306254529
1548,131024.80651485032
1549,113631.96290019904
1550,136687.98684329088
1551,120283.11307378081
1552,137837.38020709675
1553,146358.26595191745
1554,108168.43784283599
1555,162818.94094370346
1556,83415.77222628653
1557,110020.21214084572
1558,99354.18986195509
1559,96484.10923115401
1560,136650.39302439446
1561,130183.87024110017
1562,123556.16389865021
1563,120615.18111338452
1564,164030.60379456024
1565,141855.81390547194
1566,229553.59041153465
1567,82816.76662583061
1568,212855.9535672458
1569,132413.17948062503
1570,135504.92732013037
1571,133813.75516571244
1572,144320.28874248662
1573,256389.30736783342
1574,117862.81233647538
1575,220930.92962942633
1576,208851.17632278794
1577,198967.3272790216
1578,153364.47736211144
1579,146765.29816180622
1580,195549.40733895166
1581,153939.1346644275
1582,126136.24864408675
1583,343106.5974324397
1584,227049.3434133188
1585,139514.21389254573
1586,85656.88527254834
1587,103055.80412554585
1588,147649.91610648617
1589,103253.05920144076
1590,140830.04793764133
1591,97455.82234453975
1592,124666.2671492239
1593,134873.93233811084
1594,129719.17162953026
1595,106513.07429093072
1596,230765.12042084633
1597,179360.42185595943
1598,203019.55851613943
1599,204711.16605571273
1600,198952.23367632323
1601,86245.42242365713
1602,106548.2667185072
1603,100139.25488472568
1604,269193.23033149797
1605,250495.77667024895
1606,170739.84102380893
1607,166654.83395749578
1608,222686.0867116875
1609,192809.4451070234
1610,146383.90914504312
1611,147388.35288962166
1612,167735.71326624183
1613,156957.31443874392
1614,125701.06269680023
1615,94083.9236646458
1616,74337.84256023519
1617,97649.87939396537
1618,120756.91531286028
1619,149148.9499250284
1620,153123.47084086476
1621,135022.1796616667
1622,135933.2994070688
1623,309390.9062844559
1624,202316.85473359717
1625,128340.62404459785
1626,163695.4180883697
1627,185429.2959462145
1628,293024.3337210791
1629,180781.1139312895
1630,392369.340991748
1631,228551.70550690463
1632,251143.9744651809
1633,167868.5524933869
1634,178591.78570088925
1635,184416.5738190667
1636,159977.89692321036
1637,180313.82962749997
1638,215511.9121658429
1639,173898.2097148218
1640,253891.59591692805
1641,174445.9623684506
1642,209662.49630673713
1643,222725.36169842072
1644,220368.27437529026
1645,180826.52870488117
1646,157008.5736781415
1647,168901.67710770553
1648,136170.13261106206
1649,139562.40136980315
1650,122073.99483838891
1651,122439.45701131207
1652,96669.97687526178
1653,101520.01245860696
1654,151824.43728172962
1655,157121.047097337
1656,147204.3988119324
1657,149770.15502518808
1658,143530.150995523
1659,144602.7891065767
1660,150477.41700252183
1661,433645.8797849031
1662,413179.93122861005
1663,386610.8404886283
1664,382305.5952071482
1665,310652.1922139728
1666,336928.3566113058
1667,374101.4215753399
1668,347694.9237863781
1669,294332.470184853
1670,351033.83740546566
1671,250033.17144457635
1672,453099.2055240065
1673,304969.6059750716
